concepto,descripcion
distribucion normal o curva normal,"En teoría y estadísticas de probabilidad, la distribución normal multivariada, la distribución gaussiana multivariada o la distribución normal conjunta es una generalización de la distribución normal unidimensional (univariante) a las dimensiones superiores.  Una definición es que se dice que un vector aleatorio es de variado K normalmente distribuido si cada combinación lineal de sus componentes K tiene una distribución normal univariada. Su importancia se deriva principalmente del teorema del límite central multivariante. La distribución normal multivariada a menudo se usa para describir, al menos aproximadamente, cualquier conjunto de variables aleatorias de valor real (posiblemente) correlacionadas, cada una de las cuales se agrupa alrededor de un valor medio."
error tipo ii,"En las pruebas de hipótesis estadística, un error tipo I, o un falso positivo, es el rechazo erróneo de una hipótesis nula verdadera. Un error de tipo II, o un falso negativo, es la falla errónea al lograr el rechazo apropiado de una hipótesis nula falsa."
estacionaria,"El aprendizaje por refuerzo o aprendizaje reforzado (en inglés: reinforcement learning) es un área del aprendizaje automático (AA) inspirada en la psicología conductista, cuya ocupación es determinar qué acciones debe escoger un agente de software en un entorno dado con el fin de maximizar alguna noción de ""recompensa"" o premio acumulado. El problema, por su generalidad, se estudia en muchas otras disciplinas, como la teoría de juegos, teoría de control, investigación de operaciones, teoría de la información, la optimización basada en la simulación, estadística y algoritmos genéticos. En otros campos de investigación, donde se estudian los métodos de aprendizaje de refuerzo, se lo conoce como programación dinámica aproximada. El problema se ha estudiado en la teoría de control óptimo, aunque la mayoría de los estudios se centran en la existencia de soluciones óptimas y su caracterización, no en los aspectos de aprendizaje o de aproximación. En la economía y en teoría de juegos, el aprendizaje por refuerzo se puede utilizar para explicar cómo puede surgir equilibrio en condiciones de racionalidad limitada. En aprendizaje de máquina, el medio ambiente es formulado generalmente como un proceso de decisión de Markov (MDP) y muchos algoritmos de aprendizaje por refuerzo están estrechamente relacionados con técnicas de la programación dinámica. La principal diferencia entre las técnicas clásicas y los algoritmos de aprendizaje por refuerzo es que para estos últimos no es necesario el conocimiento de los MDP y se dirigen a grandes MDP donde los métodos exactos se convierten en no viables. El aprendizaje por refuerzo difiere del estándar de aprendizaje supervisado en el que los pares de entradas / salidas correctas nunca se presentan, ni acciones subóptimas corregidas explícitamente. Además, hay un enfoque en el rendimiento en línea, que consiste en encontrar un equilibrio entre la exploración (de un territorio desconocido) y explotación (de los conocimientos actuales)."
frecuencia absoluta,"La palabra probabilidad ha sido utilizada en una variedad de maneras desde que esta fue primeramente aplicada al estudio matemático de juegos de posibilidad.  Algunas dudas que han surgido al respecto son: ¿La probabilidad mide la tendencia física real de que algo ocurra, o es una medida de cuan fuertemente uno cree que ocurrirá, o se basa en ambos elementos? Para responder tales preguntas, los matemáticos interpretan los valores de probabilidad de la teoría de probabilidad."
frecuencia absoluta acumulada,"En estadísticas, una ogiva, también conocida como polígono de frecuencia acumulativa, puede referirse a una de las dos cosas:"
frecuencia condicional,"En la recuperación de la información, TF -IIDF (también TF*IDF, TFIDF, TF -IDF o TF -IDF), con el hecho de que la frecuencia de documento de la frecuencia a término -inverso, es una medida de importancia de una palabra para un documento en una colección o corpus, ajustado por el hecho de que algunas palabras parecen con mayor frecuencia en general. Al igual que el modelo de la bolsa de palabras, modela un documento como un multiset de palabras, sin orden de palabras. Es un refinamiento sobre el modelo simple de la bolsa de palabras, al permitir que el peso de las palabras dependa del resto del corpus."
frecuencia conjunta,"En aprendizaje automático, un algoritmo es justo, o tiene equidad si sus resultados son independientes de un cierto conjunto de variables que consideramos sensibles y no relacionadas con él (p.e.: género, etnia, orientación sexual, etc.)."
fuentes de datos,"Estos conjuntos de datos se utilizan en la investigación de aprendizaje automático (ML) y se han citado en revistas académicas revisadas por pares. Los conjuntos de datos son una parte integral del campo del aprendizaje automático. Los principales avances en este campo pueden resultar de los avances en los algoritmos de aprendizaje (como el aprendizaje profundo), el hardware de la computadora y, con menos intuición, la disponibilidad de conjuntos de datos de capacitación de alta calidad. Los conjuntos de datos de entrenamiento etiquetados de alta calidad para algoritmos de aprendizaje automático supervisados ​​y semi-supervisados ​​suelen ser difíciles y costosos de producir debido a la gran cantidad de tiempo necesario para etiquetar los datos. Aunque no necesitan ser etiquetados, los conjuntos de datos de alta calidad para el aprendizaje no supervisado también pueden ser difíciles y costosos de producir."
grado de urbanizacion,"La deforestación o el aclaramiento del bosque es la eliminación y destrucción de un bosque o un soporte de árboles de la tierra que luego se convierte en uso no forestal. La deforestación puede implicar la conversión de tierras forestales en granjas, ranchos o uso urbano. Alrededor del 31% de la superficie terrestre de la Tierra está cubierta por bosques en la actualidad. Este es un tercio menos que la cubierta forestal antes de la expansión de la agricultura, con la mitad de esa pérdida en el siglo pasado. Entre 15 millones a 18 millones de hectáreas de bosque, un área del tamaño de Bangladesh, se destruyen cada año. En promedio, se cortan 2.400 árboles cada minuto. Las estimaciones varían ampliamente en cuanto a la extensión de la deforestación en los trópicos. En 2019, casi un tercio de la pérdida general de la cobertura del árbol, o 3.8 millones de hectáreas, ocurrieron dentro de los bosques primarios tropicales húmedos. Estas son áreas de selva tropical madura que son especialmente importantes para la biodiversidad y el almacenamiento de carbono."
grafico de areas,"Un modelo gráfico o modelo gráfico probabilístico (PGM) o modelo probabilístico estructurado es un modelo probabilístico para el cual un gráfico expresa la estructura de dependencia condicional entre las variables aleatorias. Los modelos gráficos se usan comúnmente en la teoría de la probabilidad, estadísticas, particularmente estadísticas bayesianas, y el aprendizaje automático."
grafico de cajas,"Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo. Es uno de los enfoques de modelado predictivo utilizadas en estadísticas, minería de datos y aprendizaje automático. Los modelos de árbol, donde la variable de destino puede tomar un conjunto finito de valores se denominan árboles de clasificación. En estas estructuras de árbol, las hojas representan etiquetas de clase y las ramas representan las conjunciones de características que conducen a esas etiquetas de clase. Los árboles de decisión, donde la variable de destino puede tomar valores continuos (por lo general números reales) se llaman árboles de regresión. Los árboles de decisión se encuentran entre los algoritmos populares debido a su simplicidad."
grafico semilogaritmico,"En ciencia e ingeniería, una gráfica/gráfico semi-log o gráfico/gráfico semi-logarítmico tiene un eje en una escala logarítmica, la otra a escala lineal. Es útil para datos con relaciones exponenciales, donde una variable cubre un amplio rango de valores."
indice de valor,"En la teoría de juegos cooperativos, el valor de Shapley es un método (concepto de solución) para distribuir de manera justa las ganancias o costos totales entre un grupo de jugadores que han colaborado. Por ejemplo, en un proyecto de equipo donde cada miembro contribuyó de manera diferente, el valor de Shapley proporciona una forma de determinar cuánto crédito o culpa se merece cada miembro. Fue nombrado en honor de Lloyd Shapley, quien lo presentó en 1951 y ganó el Premio Nobel Memorial en Ciencias Económicas para IT en 2012."
indice agregativo,"En las matemáticas aplicadas y la toma de decisiones, el método de aleatorización de índices agregados (AIRM) es una modificación de un método de índices agregado bien conocido, [cita necesaria] dirigido a objetos complejos sujetos a una estimación de criterios múltiples bajo incertidumbre.  AIRM fue desarrollado por primera vez por el matemático aplicado en ruso Aplicista Aleksey Krylov alrededor de 1908."
indice ideal de fisher,"En estadísticas, el método de Fisher, también conocido como prueba de probabilidad combinada de Fisher, es una técnica para la fusión de datos o el ""metanálisis"" (análisis de análisis).  Fue desarrollado por Ronald Fisher.  En su forma básica, se utiliza para combinar los resultados de varias pruebas de independencia que se encuentran con la misma hipótesis general (H0)."
indice de carli,"La relación de señal / ruido máxima (PSNR) es un término de ingeniería para la relación entre la potencia máxima posible de una señal y la potencia del ruido de corrupción que afecta la fidelidad de su representación. Debido a que muchas señales tienen un rango dinámico muy amplio, PSNR generalmente se expresa como una cantidad logarítmica utilizando la escala de decibelios."
indice de concentracion de gini,"En estadística, un parámetro es el número que resume la gran cantidad de datos que pueden derivarse del estudio de una variable estadística.​ El cálculo de este número está bien definido, usualmente mediante una fórmula aritmética obtenida a partir de datos de la población.​​"
intervalo de clase,"En estadísticas, un intervalo de confianza (IC) es una herramienta para estimar un parámetro, como la media de una población. Para hacer un IC, un analista primero selecciona un nivel de confianza, como el 95%. Luego, el analista sigue un procedimiento que genera un intervalo. Siguiendo este procedimiento muchas veces en muchos experimentos, la fracción de intervalos que contienen el parámetro abordará el nivel de confianza. Es una idea errónea común que el nivel de confianza es la probabilidad de que un intervalo particular contenga el parámetro. Aunque estas ideas están relacionadas, son sutilmente diferentes."
marca de clase,"Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo. Es uno de los enfoques de modelado predictivo utilizadas en estadísticas, minería de datos y aprendizaje automático. Los modelos de árbol, donde la variable de destino puede tomar un conjunto finito de valores se denominan árboles de clasificación. En estas estructuras de árbol, las hojas representan etiquetas de clase y las ramas representan las conjunciones de características que conducen a esas etiquetas de clase. Los árboles de decisión, donde la variable de destino puede tomar valores continuos (por lo general números reales) se llaman árboles de regresión. Los árboles de decisión se encuentran entre los algoritmos populares debido a su simplicidad."
media aritmetica para datos simples,"En matemáticas y estadísticas, la media aritmética ( / ˌærɪθˈmɛtɪk / arr-met-ik), promedio aritmético, o simplemente la media o promedio (cuando el contexto es claro) es la suma de una colección de números divididos por el recuento de números en la colección. La colección es a menudo un conjunto de resultados de un experimento, un estudio de observación o una encuesta. El término ""media aritmética"" se prefiere en algunos contextos de matemáticas y estadísticas porque ayuda a distinguirlo de otros tipos de medios, como geométricos y armónicos."
media aritmetica para datos agrupados,"En matemáticas y estadísticas, la media aritmética ( / ˌærɪθˈmɛtɪk / arr-met-ik), promedio aritmético, o simplemente la media o promedio (cuando el contexto es claro) es la suma de una colección de números divididos por el recuento de números en la colección. La colección es a menudo un conjunto de resultados de un experimento, un estudio de observación o una encuesta. El término ""media aritmética"" se prefiere en algunos contextos de matemáticas y estadísticas porque ayuda a distinguirlo de otros tipos de medios, como geométricos y armónicos."
medidas de forma,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
medidas de posicion de tendencia central,"En estadísticas, una tendencia central (o medida de tendencia central) es un valor central o típico para una distribución de probabilidad."
medidas de posicion de tendencia no centrales,"En estadísticas, el coeficiente de correlación de rango de Spearman o el ρ de Spearman, llamado así por Charles Spearman y a menudo denotado por la letra griega ρ {displaystyle rho} (rho) o como rs r_ {s}} es una medida no paramétrica de correlación de rango (dependencia estadística entre las clasificaciones de dos variables). Evalúa qué tan bien se puede describir la relación entre dos variables utilizando una función monotónica."
muestra no probabilistica,"En estadística, los métodos de Montecarlo basados en cadenas de Markov (MCMC por sus siglas en inglés,  Markov chain Montecarlo) comprenden una clase de algoritmos para el muestreo de una distribución de probabilidad. Construyendo una cadena de Markov que tiene la distribución deseada como su distribución de equilibrio, se puede obtener una muestra de la distribución deseada registrando estados de la cadena. Cuantos más pasos se incluyan, más se acercará la distribución de la muestra a la distribución real deseada. Existen varios algoritmos para construir cadenas, incluido el algoritmo de Metrópolis-Hastings."
muestra probabilistica,"En estadística, los métodos de Montecarlo basados en cadenas de Markov (MCMC por sus siglas en inglés,  Markov chain Montecarlo) comprenden una clase de algoritmos para el muestreo de una distribución de probabilidad. Construyendo una cadena de Markov que tiene la distribución deseada como su distribución de equilibrio, se puede obtener una muestra de la distribución deseada registrando estados de la cadena. Cuantos más pasos se incluyan, más se acercará la distribución de la muestra a la distribución real deseada. Existen varios algoritmos para construir cadenas, incluido el algoritmo de Metrópolis-Hastings."
muestreo aletorio simple,"En estadísticas, una muestra aleatoria simple (o SRS) es un subconjunto de individuos (una muestra) elegido de un conjunto más grande (una población) en el que un subconjunto de individuos se elige al azar, todos con la misma probabilidad. Es un proceso de selección de una muestra de manera aleatoria. En SRS, cada subconjunto de k individuos tiene la misma probabilidad de ser elegido para la muestra que cualquier otro subconjunto de k individuos. El muestreo aleatorio simple es un tipo básico de muestreo y puede ser un componente de otros métodos de muestreo más complejos."
muestreo estratificado aleatorio,"Se puede afirmar que la Historia de la estadística comienza en 1750, aunque con el tiempo, ha habido cambios en la interpretación de la palabra ""estadística"". En un principio, el significado estaba restringido a la información acerca de los estados. Este fue extendido posteriormente para incluir toda colección de información de cualquier tipo, y más tarde fue extendido para incluir el análisis e interpretación de los datos. asta ahí Silvia Díaz En términos modernos fue presentado la palabra estadística""estadística."
muestreo con reposicion,"En estadística y aprendizaje automático, los métodos por conjuntos utilizan múltiples algoritmos de aprendizaje para obtener un rendimiento predictivo mejor que el que podría obtenerse con cualquiera de los algoritmos de aprendizaje constituyentes por sí solos.​​​ A diferencia de un conjunto estadístico en mecánica estadística, que suele ser infinito, un conjunto de aprendizaje automático consta únicamente de un conjunto finito concreto de modelos alternativos, pero normalmente permite que exista una estructura mucho más flexible entre esas alternativas."
muestreo sin reposicion,"Bootstrapping es un procedimiento para estimar la distribución de un estimador mediante el remuestreo (a menudo con el reemplazo) los datos o un modelo estimado a partir de los datos. Bootstrapping asigna medidas de precisión (sesgo, varianza, intervalos de confianza, error de predicción, etc.) a las estimaciones de muestra. Esta técnica permite la estimación de la distribución de muestreo de casi cualquier estadística utilizando métodos de muestreo aleatorio."
nivel de significacion,"En las pruebas de hipótesis estadística, un resultado tiene importancia estadística cuando un resultado al menos como ""extremo"" sería muy poco frecuente si la hipótesis nula fuera cierto. Más precisamente, el nivel de significancia definido de un estudio, denotado por α {DisciplyStyle Alpha}, es la probabilidad de que el estudio rechace la hipótesis nula, dado que la hipótesis nula es verdadera; y el valor p de un resultado, P {DisplayStyle P}, es la probabilidad de obtener un resultado al menos tan extremo, dado que la hipótesis nula es cierta. El resultado es estadísticamente significativo, según los estándares del estudio, cuando P≤α {explayStyle pleq alfa}. El nivel de significancia para un estudio se elige antes de la recopilación de datos, y generalmente se establece en un 5% o mucho más bajo, dependiendo en el campo de estudio."
periodo de referencia de una encuesta,"La estadística (la forma femenina del término alemán Statistik, derivado a su vez del italiano statista, «hombre de Estado»)​ es la disciplina que estudia la variabilidad, así como el proceso aleatorio que la genera siguiendo las leyes de la probabilidad.​ Cuando este conocimiento se aplica a las ciencias fácticas, el proceso de investigación requiere la recolección, organización, análisis, interpretación y presentación de los datos."
poblacion finita,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
poblacion infinita,"Un algoritmo es una serie de pasos organizados que describe el proceso que se debe seguir, para dar solución a un problema específico."
poblacion objetivo,"El aprendizaje automático (ML) es un campo de estudio en inteligencia artificial relacionada con el desarrollo y el estudio de algoritmos estadísticos que pueden aprender de los datos y generalizar a datos invisibles, y así realizar tareas sin instrucciones explícitas. Dentro de una subdisciplina en el aprendizaje automático, los avances en el campo del aprendizaje profundo han permitido que las redes neuronales, una clase de algoritmos estadísticos, superen muchos enfoques de aprendizaje automático previos en el rendimiento."
poligono de frecuencias acumuladas,"En estadísticas, una ogiva, también conocida como polígono de frecuencia acumulativa, puede referirse a una de las dos cosas:"
probabilidad de seleccion,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos. Las técnicas de selección de la característica son utilizadas por cuatro razones:"
probabilidad proporcional al tamano,"En estadística y aprendizaje automático, los métodos por conjuntos utilizan múltiples algoritmos de aprendizaje para obtener un rendimiento predictivo mejor que el que podría obtenerse con cualquiera de los algoritmos de aprendizaje constituyentes por sí solos.​​​ A diferencia de un conjunto estadístico en mecánica estadística, que suele ser infinito, un conjunto de aprendizaje automático consta únicamente de un conjunto finito concreto de modelos alternativos, pero normalmente permite que exista una estructura mucho más flexible entre esas alternativas."
quintil,"En estadísticas y probabilidad, los cuantiles son puntos de corte que dividen el rango de una distribución de probabilidad en intervalos continuos con igualdad de probabilidades, o dividen las observaciones de una muestra de la misma manera. Hay un cuantil menos que el número de grupos creados. Los cuantiles comunes tienen nombres especiales, como cuartiles (cuatro grupos), deciles (diez grupos) y percentiles (100 grupos).  Los grupos creados se denominan mitades, tercios, cuartos, etc., aunque a veces los términos para el cuantil se usan para los grupos creados, en lugar de los puntos de corte."
rango,"En el aprendizaje profundo, el ajuste fino es un enfoque para transferir el aprendizaje en el que los parámetros de un modelo de red neuronal previamente capacitado están capacitados en nuevos datos. El ajuste fino se puede hacer en toda la red neuronal, o solo en un subconjunto de sus capas, en cuyo caso las capas que no están siendo ajustadas están ""congeladas"" (es decir, no se cambian durante la backpropagación). También se puede aumentar un modelo con ""adaptadores"" que consisten en muchos menos parámetros que el modelo original, y ajustado de manera fina de manera eficiente a los parámetros ajustando los pesos de los adaptadores y dejando el resto de los pesos del modelo congelados."
suceso cierto,"En el análisis de datos, la detección de anomalías [también denominada detección de valores atípicos (en inglés: outlier detection)] y, en ocasiones, detección de rarezas suele entenderse como la identificación de elementos, sucesos u observaciones poco frecuentes que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.​ Tales ejemplos pueden despertar sospechas de haber sido generados por un mecanismo diferente,​ o parecer incoherentes con el resto de ese conjunto de datos.​"
sucesos compuestos,"Esta es una cronología de la inteligencia artificial, a veces también llamada inteligencia sintética."
sucesos contrarios,"En el análisis de datos, la detección de anomalías [también denominada detección de valores atípicos (en inglés: outlier detection)] y, en ocasiones, detección de rarezas suele entenderse como la identificación de elementos, sucesos u observaciones poco frecuentes que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.​ Tales ejemplos pueden despertar sospechas de haber sido generados por un mecanismo diferente,​ o parecer incoherentes con el resto de ese conjunto de datos.​"
tabla de datos agrupados,"Los datos agrupados son datos formados mediante la agregación de observaciones individuales de una variable en grupos, de modo que una distribución de frecuencia de estos grupos sirve como un medio conveniente para resumir o analizar los datos. Hay dos tipos principales de agrupación: la agrupación de datos de una variable de una sola dimensión, reemplazando los números individuales por recuentos en los contenedores; y agrupar variables multidimensionales por algunas de las dimensiones (especialmente por variables independientes), obteniendo la distribución de dimensiones no agrupadas (especialmente las variables dependientes)."
tasa de escolarizacion por edad,"El desempleo juvenil o paro juvenil es el paro de personas jóvenes, definidas por las Naciones Unidas como de 15 a 24 años de edad. Una persona desempleada se define como alguien que no tiene  trabajo, pero está buscándolo activamente. Por tanto, para contar como parado en las medidas oficiales y estadísticas, el individuo debe carecer de ocupación, estar dispuesto a trabajar, ser capaz de hacerlo, encontrarse en el rango de edades en que está permitido trabajar en su país, y estar buscando activamente un empleo. Los índices de paro juvenil tienden a ser más altos que los de adultos en todos los países del mundo."
unidad estadistica,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
variable bidimensional,"La reducción de la dimensionalidad, o la reducción de la dimensión, es la transformación de datos de un espacio de alta dimensión en un espacio de baja dimensión para que la representación de baja dimensión retenga algunas propiedades significativas de los datos originales, idealmente cerca de su dimensión intrínseca. Trabajar en espacios de alta dimensión puede ser indeseable por muchas razones; Los datos sin procesar a menudo son escasos como consecuencia de la maldición de la dimensionalidad, y el análisis de los datos suele ser computacionalmente intratable. La reducción de la dimensionalidad es común en los campos que se ocupan de un gran número de observaciones y/o un gran número de variables, como el procesamiento de señales, el reconocimiento de voz, la neuroinformática y la bioinformática."
variable deterministica,"En la informática, un algoritmo determinista es un algoritmo que, dada una entrada particular, siempre producirá la misma salida, con la máquina subyacente siempre pasando a través de la misma secuencia de estados. Los algoritmos deterministas son, con mucho, el tipo de algoritmo más estudiado y familiar, así como uno de los más prácticos, ya que se pueden ejecutar en máquinas reales de manera eficiente."
variable pluridimensional,"En la teoría de los sistemas matemáticos, un sistema multidimensional o un sistema M-D es un sistema en el que no solo existe una variable independiente (como el tiempo), sino que hay varias variables independientes."
variable unidimensional,"La reducción de la dimensionalidad, o la reducción de la dimensión, es la transformación de datos de un espacio de alta dimensión en un espacio de baja dimensión para que la representación de baja dimensión retenga algunas propiedades significativas de los datos originales, idealmente cerca de su dimensión intrínseca. Trabajar en espacios de alta dimensión puede ser indeseable por muchas razones; Los datos sin procesar a menudo son escasos como consecuencia de la maldición de la dimensionalidad, y el análisis de los datos suele ser computacionalmente intratable. La reducción de la dimensionalidad es común en los campos que se ocupan de un gran número de observaciones y/o un gran número de variables, como el procesamiento de señales, el reconocimiento de voz, la neuroinformática y la bioinformática."
variaciones irregulares,"Bosques aleatorios o bosques de decisión aleatorios es un método de aprendizaje de conjunto para la clasificación, regresión y otras tareas que funciona creando una multitud de árboles de decisión durante la capacitación. Para las tareas de clasificación, la producción del bosque aleatorio es la clase seleccionada por la mayoría de los árboles. Para las tareas de regresión, la producción es el promedio de las predicciones de los árboles. Bosques aleatorios Correcto para la decisión El hábito de los árboles de sobrecarxer a su conjunto de entrenamiento.: 587–588"
área bajo la curva roc,"Una curva característica de operación del receptor, o curva ROC, es una gráfica gráfica que ilustra el rendimiento de un modelo de clasificador binario (también se puede usar para la clasificación de clase múltiple) con valores de umbral variables."
representaciones de codificador bidireccional de transformadores,BERT (Bidirectional Encoder Representations from Transformers) o Representación de Codificador Bidireccional de Transformadores es una técnica basada en redes neuronales para el pre-entrenamiento del procesamiento del lenguaje natural (PLN) desarrollada por Google.​ BERT fue creado y publicado en 2018 por Jacob Devlin y sus compañeros en Google.​​ Google está aprovechando BERT para comprender mejor las búsquedas de los usuarios.​ 
ética/equidad,"La caja de Potter es un modelo para tomar decisiones éticas, desarrolladas por Ralph B. Potter, Jr., profesor de ética social emérita en la Harvard Divinity School. Es comúnmente utilizado por los académicos de ética de la comunicación. Según este modelo, el pensamiento moral debería ser un proceso sistemático y cómo tomamos las decisiones debe basarse en algún razonamiento."
bilingual evaluation understudy from transformers,"Bleu (suplente de evaluación bilingüe) es un algoritmo para evaluar la calidad del texto que ha sido traducido a máquina de un lenguaje natural a otro. Se considera que la calidad es la correspondencia entre la salida de una máquina y la de un humano: ""Cuanto más cercana sea una traducción automática para una traducción humana profesional, mejor es"", esta es la idea central detrás de Bleu. Inventado en IBM en 2001, Bleu fue una de las primeras métricas en reclamar una alta correlación con los juicios humanos de calidad, y sigue siendo una de las métricas automatizadas y económicas más populares."
cdf,"En la teoría y las estadísticas de la probabilidad, la función de distribución acumulativa (CDF) de una variable aleatoria de valor real x {DisplayStyle x}, o la función de distribución simplemente de x {DisplayStyle x}, evaluada en x {DisplayStyle x}, es la probabilidad de que X {DisplayStyle x} tomará un valor menos que o igual a X {DisplayStyle x}."
tf.data,"TensorFlow es una biblioteca de código abierto para aprendizaje automático a través de un rango de tareas, y desarrollado por Google para satisfacer sus necesidades de sistemas capaces de construir y entrenar redes neuronales para detectar y descifrar patrones y correlaciones, análogos al aprendizaje y razonamiento usados por los humanos.​ Actualmente es utilizado tanto en la investigación como en los productos de Google​: min 0:15/2:17  ​: p.2  ​: 0:26/2:17  frecuentemente reemplazando el rol de su predecesor de código cerrado, DistBelief. TensorFlow fue originalmente desarrollado por el equipo de Google Brain para uso interno en Google antes de ser publicado bajo la licencia de código abierto Apache 2.0 el 9 de noviembre de 2015.​​"
data set or dataset,"Estos conjuntos de datos se utilizan en la investigación de aprendizaje automático (ML) y se han citado en revistas académicas revisadas por pares. Los conjuntos de datos son una parte integral del campo del aprendizaje automático. Los principales avances en este campo pueden resultar de los avances en los algoritmos de aprendizaje (como el aprendizaje profundo), el hardware de la computadora y, con menos intuición, la disponibilidad de conjuntos de datos de capacitación de alta calidad. Los conjuntos de datos de entrenamiento etiquetados de alta calidad para algoritmos de aprendizaje automático supervisados ​​y semi-supervisados ​​suelen ser difíciles y costosos de producir debido a la gran cantidad de tiempo necesario para etiquetar los datos. Aunque no necesitan ser etiquetados, los conjuntos de datos de alta calidad para el aprendizaje no supervisado también pueden ser difíciles y costosos de producir."
dqn,"El aprendizaje de refuerzo profundo o Deep reinforcement learning (DRL) es un subcampo del aprendizaje automático que combina el aprendizaje reforzado con el aprendizaje profundo.​ El aprendizaje reforzado considera el problema de un agente computacional aprendiendo a tomar decisiones por un método de prueba y error. El aprendizaje de refuerzo profundo incorpora el aprendizaje profundo a la solución, permitiendo que dichos agentes puedan tomar decisiones con datos de entrada no estructurados sin ingeniería manual del espacio de estados. Los algoritmos que se usan en el DRL son capaces de coger entradas muy amplias (por ejemplo, cada píxel de la pantalla de un videojuego) y decidir qué acciones realizar para optimizar un objetivo (por ejemplo, maximizar la puntuación del juego). El DRL se ha usado para diversas aplicaciones, incluyendo robótica, videojuegos,​ procesamiento del lenguaje natural, visión artificial, educación, transporte, finanzas y salud, entre otros. "
emd,"En la informática, la distancia de la Tierra (EMD) es una medida de disimilitud entre dos distribuciones de frecuencia, densidades o medidas, sobre un espacio métrico D. informalmente, si las distribuciones se interpretan como dos formas diferentes de acumulación de Tierra (Dirt) sobre D, el EMD captura el costo de la construcción de la distancia más pequeña que se toma de la DIRT del costo, donde se define el costo se define la cantidad de subprota de DIRT."
ecdf o edf,"En estadísticas, una función de distribución empírica (también conocida como una función de distribución acumulativa empírica, ECDF) es la función de distribución asociada con la medida empírica de una muestra. Esta función de distribución acumulativa es una función de paso que aumenta por 1/n en cada uno de los n puntos de datos. Su valor en cualquier valor especificado de la variable medida es la fracción de observaciones de la variable medida que son menores o iguales al valor especificado."
erm,"En la teoría del aprendizaje estadístico, el principio de minimización del riesgo empírico define una familia de algoritmos de aprendizaje basados ​​en evaluar el rendimiento sobre un conjunto de datos conocido y fijo. La idea central se basa en una aplicación de la ley de grandes números; Más específicamente, no podemos saber exactamente qué tan bien funcionará un algoritmo predictivo en la práctica (es decir, el ""riesgo verdadero"") porque no conocemos la verdadera distribución de los datos, pero en cambio podemos estimar y optimizar el rendimiento del algoritmo en un conjunto conocido de datos de capacitación. El rendimiento sobre el conjunto conocido de datos de capacitación se conoce como el ""riesgo empírico""."
fn,"En reconocimiento de patrones, recuperación de información, detección de objetos y clasificación (aprendizaje automático), precisión y retiro son métricas de rendimiento que se aplican a los datos recuperados de una colección, corpus o espacio de muestra."
fp,"El descubrimiento de patrones frecuentes (o el descubrimiento de FP, la minería FP o la minería frecuente del conjunto de elementos) es parte del descubrimiento de conocimiento en bases de datos, análisis masivo en línea y minería de datos; Describe la tarea de encontrar los patrones más frecuentes y relevantes en los conjuntos de datos grandes. El concepto se introdujo por primera vez para las bases de datos de transacciones mineras. Los patrones de frecuencia se definen como subconjuntos (conjuntos de elementos, subsecuencias o subestructuras) que aparecen en un conjunto de datos con frecuencia no menos que un thrheshold o autodeterminado por el usuario o autodeterminado."
fpr,"En reconocimiento de patrones, recuperación de información, detección de objetos y clasificación (aprendizaje automático), precisión y retiro son métricas de rendimiento que se aplican a los datos recuperados de una colección, corpus o espacio de muestra."
