concepto,descripcion
gráficos de dispersión,"Un diagrama de dispersión, gráfica de dispersión, gráfico de burbujas o gráfico de bolas es un tipo de diagrama matemático que utiliza las coordenadas cartesianas para mostrar los valores de dos variables para un conjunto de datos.​"
gráficos de correlación,"En probabilidad y estadística, la correlación indica la fuerza y la dirección de una relación lineal y la proporcionalidad entre dos variables estadísticas. Se considera que dos variables cuantitativas están correlacionadas cuando los valores de una de ellas varían sistemáticamente con respecto a los valores homónimos de la otra: si tenemos dos variables (A y B) existe correlación entre ellas si al disminuir los valores de A lo hacen también los de B y viceversa. La correlación entre dos variables no implica, por sí misma, ninguna relación de causalidad (Véase cum hoc ergo propter hoc). Por  ejemplo, los ingresos y gastos de una familia, la producción y ventas de una fábrica, los gastos en publicidad y beneficios de una empresa."
detección de valores atípicos,"En el análisis de datos, la detección de anomalías [también denominada detección de valores atípicos (en inglés: outlier detection)] y, en ocasiones, detección de rarezas suele entenderse como la identificación de elementos, sucesos u observaciones poco frecuentes que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.​ Tales ejemplos pueden despertar sospechas de haber sido generados por un mecanismo diferente,​ o parecer incoherentes con el resto de ese conjunto de datos.​"
gráficos de series temporales,"Una serie temporal o cronológica es una sucesión de datos medidos en determinados momentos y ordenados cronológicamente. Los datos pueden estar espaciados a intervalos iguales (como la temperatura en un observatorio meteorológico en días sucesivos al mediodía) o desiguales (como el peso de una persona en sucesivas mediciones en el consultorio médico, la farmacia, etc.). Para el análisis de las series temporales se usan métodos que ayudan a interpretarlas y que permiten extraer información representativa sobre las relaciones subyacentes entre los datos de la serie o de diversas series y que permiten en diferente medida y con distinta confianza extrapolar o interpolar los datos y así predecir el comportamiento de la serie en momentos no observados, sean en el futuro (extrapolación pronóstica), en el pasado (extrapolación retrógrada) o en momentos intermedios (interpolación)."
filtrado de datos,"El Filtrado colaborativo (FC) es una técnica utilizada por algunos sistemas recomendadores. En general, el filtrado colaborativo es el proceso de filtrado de información o modelos, que usa técnicas que implican la colaboración entre múltiples agentes, fuentes de datos, etc.​ Las aplicaciones del filtrado colaborativo suelen incluir conjuntos de datos muy grandes. Los métodos de filtrado colaborativo se han aplicado a muchos tipos de datos, incluyendo la detección y control de datos (como en la exploración mineral, sensores ambientales en áreas grandes o sensores múltiples, datos financieros) tales como instituciones de servicios financieros que integran diversas fuentes financieras, o en formato de comercio electrónico y aplicaciones web 2.0 donde el foco está en los datos del usuario, etc. Esta discusión se centra en el filtrado colaborativo para datos de usuario, aunque algunos de los métodos y enfoques pueden aplicarse a otras aplicaciones."
agrupación de datos,"El método de agrupamiento para el manejo de datos (en inglés: Group method of data handling, GMDH) es una familia de algoritmos inductivos para la modelación matemática computacional de conjunto de datos multi-paramétricos que caracteriza completamente la optimización estructural y paramétrica automática de modelos."
segmentación de datos,"En las redes de comunicaciones de datos, la segmentación de paquetes es el proceso de dividir un paquete de datos en unidades más pequeñas para su transmisión a través de la red. La segmentación de paquetes ocurre en la capa cuatro del modelo OSI; la capa de transporte.​ La segmentación puede ser necesaria cuando:"
relación variable-objetivo,"En un modelo matemático, un modelo estadístico y en las ciencias experimentales, los valores de las variables dependientes dependen de los valores de las variables independientes. Las variables dependientes representan el producto o resultado cuya variación se está estudiando. Las variables independientes, también conocidas en un contexto estadístico como regresores, representan insumos o causas, es decir, razones potenciales de variación. En un experimento, cualquier variable que el experimentador manipule puede denominarse variable independiente. Modelos y experimentos prueban los efectos que las variables independientes tienen sobre las variables dependientes."
gráficos de barras,"Un diagrama de barras, gráfico de barras o gráfico de columnas es una forma de representar gráficamente un conjunto de datos o valores mediante barras rectangulares de longitud proporcional a los valores representados. Los gráficos de barras pueden ser usados para comparar cantidades de una variable en diferentes momentos o diferentes variables para el mismo momento. Las barras pueden orientarse horizontal y verticalmente."
gráficos de líneas,"Los gráficos estadísticos, también conocidos como técnicas gráficas, son gráficos en el campo de las estadísticas que se utilizan para visualizar datos cuantitativos. Los métodos estadísticos gráficos tienen 4 objetivos:"
análisis de correlación,"El análisis de correlación canónica (canonical-correlation analysis o CCA en inglés) es un método de análisis multivariante desarrollado por Harold Hotelling. Su objetivo es buscar las relaciones que pueda haber entre dos grupos de variables y la validez de las mismas. Se diferencia del análisis de correlación múltiple en que este solo predice una variable dependiente a partir de múltiples independientes, mientras que la correlación canónica predice múltiples variables dependientes a partir de múltiples independientes. La correlación hipercanónica es una correlación lineal y, por tanto, solo busca relaciones lineales entre las variables. En este análisis, entonces, se crean combinaciones lineales de las variables originales, sobre la base de su estructura de correlación. Al diseñar el experimento hay que considerar el tamaño de la muestra ya que son necesarias un mínimo de observaciones por variable, para que el análisis pueda representar las correlaciones adecuadamente. "
identificación de patrones,"El reconocimiento de patrones es la ciencia que se ocupa de los procesos sobre ingeniería, computación y matemáticas relacionados con objetos físicos o abstractos, con el propósito de extraer información que permita establecer propiedades de entre conjuntos de dichos objetos."
comprobación de supuestos estadísticos,"En estadística, el Test Breusch-Godfrey es usado como medio para validar algunos de los supuestos aplicados a los modelos de regresión de series de datos. En particular, es un tests para detectar la presencia de dependencia serial que no ha sido considerada dentro del modelo propuesto y en el cual, si se presenta, llevará a conclusiones incorrectas, o los parámetros estimados serán subóptimos si esto no se toma en cuenta. Los modelos de regresión que pueden ser testeados incluyen algunos rezagos en sus variables dependientes y son usados como variables independientes en la representación del modelo para las últimas observaciones. Este tipo de estructura es común en los modelos econométricos."
interpretación de resultados,"En estadística, el análisis de la regresión es un proceso estadístico para entender cómo una variable depende de otra variable. Por ejemplo, si se requiere entender cómo la edad de una persona afecta a su salario, se puede usar la regresión para encontrar una relación entre las dos variables. En términos simples, la regresión es una línea que se traza en un gráfico que muestra la relación entre dos variables. La línea se ajusta a los puntos de datos para mostrar la tendencia general entre las dos variables. Por ejemplo, si la edad y el salario están relacionados, la línea de regresión mostrará cómo el salario aumenta a medida que la edad de una persona aumenta. La regresión es una herramienta valiosa porque permite a los científicos de datos entender cómo dos variables están relacionadas y predecir valores futuros. Por ejemplo, si tienes la edad de una persona, puedes usar la línea de regresión para predecir su salario futuro."
reportes de datos,"El análisis de datos es un proceso que consiste en inspeccionar,​ limpiar y transformar datos con el objetivo de resaltar información útil, para sugerir conclusiones y apoyo en la toma de decisiones. El análisis de datos tiene múltiples facetas y enfoques, que abarca diversas técnicas en una variedad de nombres, en diferentes negocios, la ciencia, y los dominios de las ciencias sociales. Los datos se coleccionan y analizan para indagar en cuestiones, probar conjeturas o refutar teorías.​ "
distribución t-student,"ν+12[ψ(1+ν2)−ψ(ν2)]+log⁡[νB(ν2,12)] {begin{matrix}{frac {nu +1}{2}}left[psi ({frac {1+nu }{2}})-psi ({frac {nu }{2}})right][0.5em]+log {left[{sqrt {nu }}B({frac {nu }{2}},{frac {1}{2}})right]}end{matrix}}}"
error tipo i,"En un estudio de investigación, el error de tipo I, también denominado error de tipo alfa (α)​ o falso positivo, es el error que se comete cuando el investigador rechaza la hipótesis nula (H0 H_{0}}: el supuesto inicial) siendo esta verdadera en la población. Es equivalente a encontrar un resultado falso positivo, porque el investigador llega a la conclusión de que existe una diferencia entre las hipótesis cuando en realidad no existe. Se relaciona con el nivel de significancia estadística."
error tipo ii,"En un estudio de investigación, el error de tipo I, también denominado error de tipo alfa (α)​ o falso positivo, es el error que se comete cuando el investigador rechaza la hipótesis nula (H0 H_{0}}: el supuesto inicial) siendo esta verdadera en la población. Es equivalente a encontrar un resultado falso positivo, porque el investigador llega a la conclusión de que existe una diferencia entre las hipótesis cuando en realidad no existe. Se relaciona con el nivel de significancia estadística."
prueba de kolmogorov-smirnov,"En estadística, la prueba de Kolmogórov-Smirnov (también prueba K-S) es una prueba no paramétrica que determina la bondad de ajuste de dos distribuciones de probabilidad entre sí."
prueba de mann-whitney,"La estadística no paramétrica comprende a los métodos de estadística inferencial que se aplican a los casos en los que las variables no se ajustan a modelos teóricos (por ejemplo, la distribución normal o chi-cuadrada).​ Su distribución no puede ser definida a priori, pues son los datos observados los que la determinan. La utilización de estos métodos se hace recomendable cuando no se puede asumir que los datos se ajusten a una distribución conocida o no cumplan son los supuestos correspondientes.​"
prueba de kruskal-wallis,"En estadística, la prueba de Kruskal-Wallis (de William Kruskal y W. Allen Wallis) es un método no paramétrico para probar si un grupo de datos proviene de la misma población. Intuitivamente, es idéntico al ANOVA con los datos reemplazados por categorías. Es una extensión de la prueba de la U de Mann-Whitney para 3 o más grupos."
bootstraping,"El bootstrapping (o bootstrap) es un método de remuestreo propuesto por Bradley Efron en 1979. Se utiliza para aproximar la distribución en el muestreo de un estadístico. Se usa frecuentemente para aproximar el sesgo o la varianza de un análisis estadístico, así como para construir intervalos de confianza o realizar contrastes de hipótesis sobre parámetros de interés. En la mayor parte de los casos no pueden obtenerse expresiones cerradas para las aproximaciones bootstrap y por lo tanto es necesario obtener remuestras en un ordenador para poner a prueba el método. La enorme potencia de cálculo de los ordenadores actuales facilita considerablemente la aplicabilidad de este método tan costoso computacionalmente."
boxplot,"Un diagrama de caja (también, diagrama de caja y bigotes o box plot) es un método estandarizado para representar gráficamente una serie de datos numéricos a través de sus cuartiles. De esta manera, se muestran a simple vista la mediana y los cuartiles de los datos,​ y también pueden representarse sus valores atípicos. Conviene recordar que se utilizan las bisagras de Tukey, y no los cuartiles, a la hora de dibujar la caja del gráfico, aunque los resultados son semejantes en muestras grandes."
gpt,"Un transformador generativo previamente capacitado (GPT) es un tipo de modelo de lenguaje grande (LLM) y un marco prominente para la inteligencia artificial generativa. Es una red neuronal artificial que se utiliza en el procesamiento del lenguaje natural por máquinas. Se basa en la arquitectura de aprendizaje profundo del transformador, previamente entrenado en grandes conjuntos de datos de texto no etiquetado y capaz de generar contenido novedoso como humano. A partir de 2023, la mayoría de los LLM tenían estas características y a veces se denominan en general como GPT."
autoregressive model,"En Matemáticas, una serie de tiempo es una serie de puntos de datos indexados (o enumerados o gráficos) en el orden de tiempo.  Más comúnmente, una serie de tiempo es una secuencia tomada en puntos sucesivos igualmente espaciados en el tiempo. Por lo tanto, es una secuencia de datos de tiempo discreto. Ejemplos de series temporales son alturas de mareas oceánicas, recuentos de manchas solares y el valor de cierre diario del promedio industrial Dow Jones."
preentrenamiento,"Los transformadores generativos preentrenados (GPT) son un tipo de modelo de lenguaje grande (LLM)​​​ y un marco prominente para la inteligencia artificial generativa.​​ El primer GPT fue presentado en 2018 por OpenAI.​ Los modelos GPT son redes neuronales artificiales que se basan en la arquitectura del transformador, preentrenados en grandes conjuntos de datos de texto sin etiquetar, y capaces de generar contenido novedoso similar al humano.​​ A partir de 2023, la mayoría de los LLM tienen estas características​ y a veces se hace referencia a ellos como GPT.​"
fine-tuning,"En el aprendizaje profundo, el ajuste fino es un enfoque para transferir el aprendizaje en el que los pesos de un modelo previamente entrenado se entrenan en datos nuevos.​  El ajuste fino se puede realizar en toda la red neuronal o solo en un subconjunto de sus capas, en cuyo caso las capas que no se ajustan se «congelan» (no se actualizan durante el paso de retropropagación).​ Un modelo también se puede aumentar con «adaptadores» que constan de muchos menos parámetros que el modelo original, y ajustarse de manera eficiente en los parámetros ajustando los pesos de los adaptadores y dejando el resto de los pesos del modelo congelados.​"
contexto en gpt,El transformador generativo previamente entrenado 3 (GPT-3) es un modelo de lenguaje grande lanzado por OpenAI en 2020.
atención autoregresiva,"La atención es un método de aprendizaje automático que determina la importancia relativa de cada componente en una secuencia en relación con los otros componentes en esa secuencia. En el procesamiento del lenguaje natural, la importancia está representada por pesos ""suaves"" asignados a cada palabra en una oración. En términos más generales, la atención codifica vectores llamados incrustaciones de tokens en una secuencia de ancho fijo que puede variar de decenas a millones de tokens de tamaño."
tokenización en gpt,"Un modelo extenso de lenguaje o LLM (siglas en inglés para Large Language Model), también llamado modelo de lenguaje de gran tamaño, modelo de lenguaje grande,​ o gran modelo de lenguaje,​ es un modelo de lenguaje de aprendizaje profundo, que consta de una red neuronal con muchos parámetros (normalmente miles de millones o más), entrenados en grandes cantidades de texto sin etiquetar mediante aprendizaje autosupervisado o aprendizaje semisupervisado.​ Los LLMs surgieron alrededor de 2018[cita requerida] y se desempeñan bien en una amplia variedad de tareas. Esto ha cambiado el enfoque de la investigación del procesamiento del lenguaje natural alejándose del paradigma anterior de entrenar modelos supervisados especializados para tareas específicas. "
embeddings de entrada,"Word2vec es una técnica para el procesamiento de lenguaje natural publicada en 2013. El algoritmo Word2vec utiliza un modelo de red neuronal para aprender asociaciones de palabras a partir de un gran corpus de texto. Una vez entrenado, dicho modelo puede detectar palabras sinónimas o sugerir palabras adicionales para una frase sin terminar. Como su nombre indica, Word2vec representa cada palabra distinta con una lista particular de números llamada vector. Los vectores están escogidos cuidadosamente de forma que una función matemática sencilla (la similitud coseno entre los vectores) indica el nivel de la similitud semántica entre las palabras representada por dichos vectores."
head de atención,"En las redes neuronales artificiales, la atención es una técnica que pretende imitar la atención cognitiva. Este efecto realza algunas partes de los datos de entrada mientras que disminuye otras. La motivación es que la red debe dedicar más atención a las partes importantes de los datos, aunque puedan ser una pequeña porción de una imagen o una frase. El aprendizaje de qué parte de los datos es más importante que otra depende del contexto, y se entrena mediante descenso del gradiente."
capas de transformer,"Un transformador es un modelo de aprendizaje profundo que usa el mecanismo de autoatención, en el que se le da un peso diferente a cada parte de la entrada. Se usa en especial en el campo del procesamiento automático del lenguaje (PAL)​ y visión artificial.​"
normalización de capas,"El modelo de interconexión de sistemas abiertos (ISO/IEC 7498-1), conocido como “modelo OSI”, (en inglés, Open Systems Interconnection) es un modelo de referencia para los protocolos de la red (no es una arquitectura de red), creado en el año 1980 por la Organización Internacional de Normalización.​ Se ha publicado desde 1983 por la Unión Internacional de Telecomunicaciones (UIT) y, desde 1984, la Organización Internacional de Normalización (ISO) también lo publicó con estándar.​ Su desarrollo comenzó en 1977.​"
máscara de atención,"La mascarilla N95 es un tipo de mascarilla filtradora de partículas que cumple con el estándar N95 del Instituto Nacional para la Seguridad y Salud Ocupacional de los Estados Unidos de América (NIOSH por sus siglas en inglés). La designación N significa que no filtra aceites, y 95, que filtra hasta el 95% de las partículas aéreas.​ Es un ejemplo de un respirador de filtro mecánico, que proporciona protección contra partículas, pero no gases o vapores."
salida del modelo gpt,"Un transformador generativo previamente capacitado (GPT) es un tipo de modelo de lenguaje grande (LLM) y un marco prominente para la inteligencia artificial generativa. Es una red neuronal artificial que se utiliza en el procesamiento del lenguaje natural por máquinas. Se basa en la arquitectura de aprendizaje profundo del transformador, previamente entrenado en grandes conjuntos de datos de texto no etiquetado y capaz de generar contenido novedoso como humano. A partir de 2023, la mayoría de los LLM tenían estas características y a veces se denominan en general como GPT."
aprendizaje transferido,"El aprendizaje por transferencia (TL) es una técnica de aprendizaje máquina (ML) en la que el conocimiento aprendido de una tarea se reutiliza para elevar el rendimiento en una tarea relacionada. ​ Por ejemplo, para la clasificación de imágenes, los conocimientos adquiridos al aprender a reconocer automóviles podrían aplicarse al intentar reconocer camiones. Este tema está relacionado con la literatura psicológica sobre la transferencia de aprendizaje, aunque los vínculos prácticos entre los dos campos son limitados. Reutilizar/transferir información de tareas previamente aprendidas a nuevas tareas tiene el potencial de mejorar significativamente la eficiencia del aprendizaje. ​"
parámetros ajustables,"En estadística y aprendizaje automático, el dilema entre sesgo y varianza describe la relación entre la complejidad de un modelo, la exactitud de sus predicciones y su capacidad para realizar predicciones sobre datos no observados previamente que no se utilizaron para entrenar el modelo. En general, a medida que aumentamos el número de parámetros ajustables en un modelo, éste se vuelve más flexible y puede ajustarse mejor a un conjunto de datos de entrenamiento. Se dice que tiene menos error o sesgo. Sin embargo, para los modelos más flexibles, tenderá a haber una mayor varianza en el ajuste del modelo cada vez que tomemos un conjunto de muestras para crear un nuevo conjunto de datos de entrenamiento. Se dice que hay una mayor varianza en los parámetros estimados del modelo."
modelo preentrenado,"Los transformadores generativos preentrenados (GPT) son un tipo de modelo de lenguaje grande (LLM)​​​ y un marco prominente para la inteligencia artificial generativa.​​ El primer GPT fue presentado en 2018 por OpenAI.​ Los modelos GPT son redes neuronales artificiales que se basan en la arquitectura del transformador, preentrenados en grandes conjuntos de datos de texto sin etiquetar, y capaces de generar contenido novedoso similar al humano.​​ A partir de 2023, la mayoría de los LLM tienen estas características​ y a veces se hace referencia a ellos como GPT.​"
entrenamiento supervisado,"En aprendizaje automático (AA) y minería de datos, el aprendizaje supervisado es una técnica para deducir una función a partir de datos de formación. Los datos de formación consisten de pares de objetos (normalmente vectores): una componente del par son los datos de entrada y el otro, los resultados deseados. La salida de la función puede ser un valor numérico (como en los problemas de regresión) o una etiqueta de clase (como en los de clasificación). El objetivo del aprendizaje supervisado es el de crear una función capaz de predecir el valor correspondiente a cualquier objeto de entrada válida después de haber visto una serie de ejemplos, los datos de formación. Para ello, tiene que generalizar a partir de los datos presentados a las situaciones no vistas previamente."
entrenamiento no supervisado,"El aprendizaje no supervisado es un método de aprendizaje automático (AA) donde un modelo se ajusta a las observaciones.​​ Se distingue del aprendizaje supervisado por el hecho de que no hay un conocimiento a priori. En el aprendizaje no supervisado, un conjunto de datos de objetos de entrada es tratado. Así, el aprendizaje no supervisado típicamente trata los objetos de entrada como un conjunto de variables aleatorias, siendo construido un modelo de densidad para el conjunto de datos."
ajuste por retropropagación,"En aprendizaje de máquina, la retropropagación o propagación hacia atrás de errores (del inglés backpropagation) es un algoritmo de aprendizaje supervisado utilizado para entrenar redes neuronales prealimentadas. Dado que es un método de cálculo del gradiente el algoritmo generalmente se puede usar en otros tipos de redes neuronales artificiales y en general para funciones.[Nota 1]​"
codificador en transformers,"Un transformador es un modelo de aprendizaje profundo que usa el mecanismo de autoatención, en el que se le da un peso diferente a cada parte de la entrada. Se usa en especial en el campo del procesamiento automático del lenguaje (PAL)​ y visión artificial.​"
decodificador en transformers,"Un transformador es un modelo de aprendizaje profundo que usa el mecanismo de autoatención, en el que se le da un peso diferente a cada parte de la entrada. Se usa en especial en el campo del procesamiento automático del lenguaje (PAL)​ y visión artificial.​"
atención multihead,"En las redes neuronales artificiales, la atención es una técnica que pretende imitar la atención cognitiva. Este efecto realza algunas partes de los datos de entrada mientras que disminuye otras. La motivación es que la red debe dedicar más atención a las partes importantes de los datos, aunque puedan ser una pequeña porción de una imagen o una frase. El aprendizaje de qué parte de los datos es más importante que otra depende del contexto, y se entrena mediante descenso del gradiente."
dimensión oculta,"En física, se define como teorías de variables ocultas a formulaciones alternativas que suponen la existencia de ciertos parámetros desconocidos que serían los responsables de las características estadísticas de la mecánica cuántica. Dichas formulaciones pretenden restablecer el determinismo eliminado por la interpretación de la escuela de Copenhague, que es la interpretación estándar en mecánica cuántica. Suponen una crítica a la naturaleza probabilística de la mecánica cuántica, la cual conciben como una descripción incompleta del mundo físico."
pesos aprendidos,"En estadística y aprendizaje automático, los métodos por conjuntos utilizan múltiples algoritmos de aprendizaje para obtener un rendimiento predictivo mejor que el que podría obtenerse con cualquiera de los algoritmos de aprendizaje constituyentes por sí solos.​​​ A diferencia de un conjunto estadístico en mecánica estadística, que suele ser infinito, un conjunto de aprendizaje automático consta únicamente de un conjunto finito concreto de modelos alternativos, pero normalmente permite que exista una estructura mucho más flexible entre esas alternativas."
completado de texto,"Modelación del lenguaje hace referencia a la tarea de predecir la siguiente palabra o carácter en un documento. Esta técnica puede ser usada para entrenar modelos de lenguaje con una gran diversidad de aplicaciones, como la generación de texto o la clasificación de textos, entre otras.​"
resumen automático,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
prompt en gpt,La ingeniería rápida es el proceso de estructuración o creación de una instrucción para producir el mejor resultado posible de un modelo de inteligencia artificial generativa (IA).
few-shot learning,"Esta página contiene las solicitudes de revisión por pares que son mayores de un mes, no han recibido respuesta en las últimas dos semanas, no están firmadas, se han convertido en candidatos de artículo o no siguieron los principios de ""cómo usar esta página"" de alguna manera.  Si una de sus solicitudes ha sido trasladada aquí por error, acepte nuestras disculpas y copie a la página principal de revisión por pares con su firma (~~~~)."
modelo de lenguaje generativo,"El lenguaje de modelado generativo (Generative Modelling Language -GML en inglés) en computación gráfica y programación de computadora generativa es un lenguaje de programación muy simple para la descripción concisa de formas tridimensionales complejas. Sigue el paradigma de ""modelado generativo"", donde los conjuntos de datos complejos se representan mediante ""listas de operaciones"" en lugar de listas de objetos, lo que es, por ejemplo, el caso en una base de datos relacional."
pérdida de entropía cruzada,"En teoría de la información, la entropía cruzada entre dos distribuciones de probabilidad mide el número medio de bits necesarios para identificar un evento de un conjunto de posibilidades, si un esquema de codificación está basado en una distribución de probabilidad dada q{displaystyle q}, más que en la verdadera distribución p{displaystyle p}."
regularización en gpt,"Un modelo extenso de lenguaje o LLM (siglas en inglés para Large Language Model), también llamado modelo de lenguaje de gran tamaño, modelo de lenguaje grande,​ o gran modelo de lenguaje,​ es un modelo de lenguaje de aprendizaje profundo, que consta de una red neuronal con muchos parámetros (normalmente miles de millones o más), entrenados en grandes cantidades de texto sin etiquetar mediante aprendizaje autosupervisado o aprendizaje semisupervisado.​ Los LLMs surgieron alrededor de 2018[cita requerida] y se desempeñan bien en una amplia variedad de tareas. Esto ha cambiado el enfoque de la investigación del procesamiento del lenguaje natural alejándose del paradigma anterior de entrenar modelos supervisados especializados para tareas específicas. "
escalado de modelos,"En estadística, un modelo paramétrico (también denominado familia paramétrica o modelo de dimensión finita) es una clase particular de modelo estadístico. Específicamente, un modelo paramétrico es una familia de distribuciones de probabilidad que tiene un número finito de parámetros.​"
entrenamiento distribuido,"El aprendizaje federado (también llamado aprendizaje colaborativo) es una técnica deaprendizaje automático que entrena un algoritmo a través de una arquitectura descentralizada formada por múltiples dispositivos los cuales contienen sus propios datos locales y privados. Creado por Google en el año 2017,​ este enfoque contrasta con las técnicas tradicionales de aprendizaje automático centralizado y de enfoques descentralizados más clásicos, en las que todos los conjuntos de datos se cargan en un servidor de manera idéntica a como están almacenados en local. Gracias a esto se conserva la integridad de la información que está siendo utilizada para el aprendizaje sin poner en peligro la privacidad y seguridad."
aplicaciones de gpt,"Un transformador generativo previamente capacitado (GPT) es un tipo de modelo de lenguaje grande (LLM) y un marco prominente para la inteligencia artificial generativa. Es una red neuronal artificial que se utiliza en el procesamiento del lenguaje natural por máquinas. Se basa en la arquitectura de aprendizaje profundo del transformador, previamente entrenado en grandes conjuntos de datos de texto no etiquetado y capaz de generar contenido novedoso como humano. A partir de 2023, la mayoría de los LLM tenían estas características y a veces se denominan en general como GPT."
detección de bordes,"La detección de bordes es una herramienta fundamental en el procesamiento de imágenes y en visión por computadora, particularmente en las áreas de detección y extracción de características, que tiene como objetivo la identificación de puntos en una imagen digital en la que el brillo de la imagen cambia drásticamente o, más formalmente, tiene discontinuidades. El mismo problema de encontrar discontinuidades en señales 1D se conoce como detección de paso."
filtro de canny,El reconocimiento del iris es un método de autentificación biométrica que utiliza técnicas de reconocimiento de patrones (los cuales han sido almacenados anteriormente en una base de datos) en imágenes de alta resolución del iris del ojo de un individuo.
convolución en imágenes,"En matemáticas, y en particular análisis funcional, una convolución es un operador matemático que transforma dos funciones f y g en una tercera función que en cierto sentido representa la magnitud en la que se superponen f y una versión trasladada e invertida de g. Una convolución es un tipo muy general de media móvil, como se puede observar si una de las funciones se toma como la función característica de un intervalo."
mapas de características,"Un mapa es una representación gráfica simplificada de un territorio con propiedades métricas sobre una superficie bidimensional que puede ser plana, esférica o incluso poliédrica. Las propiedades métricas del mapa dependen de la proyección utilizada, y posibilitan la toma de medidas de distancias, ángulos o superficies sobre él y su relación con la realidad, en algunos casos aplicando coeficientes conocidos para la corrección de las medidas."
pooling,"Polling o sondeo en computación hace referencia a una operación de consulta constante, generalmente hacia un dispositivo de hardware, para crear una actividad sincrónica sin el uso de interrupciones, aunque también puede suceder lo mismo para recursos de software."
normalización de imágenes,"En la estadística y las aplicaciones de estadísticas, la normalización puede tener una gama de significados.​ En los casos más sencillos, la normalización de índices significa ajustar los valores medidos en diferentes escalas respecto a una escala común, a menudo previo a un proceso de realizar promedios. En casos más complicados, la normalización puede referirse a ajustes más sofisticados donde la intención es conseguir todas las distribuciones de probabilidad que se ajustan a los valores. En el caso de normalización de puntuaciones en valoración educativa,  puede haber una intención para alinear distribuciones a una distribución normal. Una aproximación diferente a la normalización de distribuciones de probabilidad es normalización de cuantiles, donde los cuantiles de diferentes medidas son traídas al ajuste."
filtro de mediana,"En estadística, los modelos autorregresivos de media móvil (en inglés AutoRegressive Moving Average models, abreviados ARMA), también llamados Modelos Box-Jenkins, se aplican a series temporales de datos."
transformada de radón,"Las bases matemáticas para las imágenes tomográficas fueron formuladas por Johann Radon. Es aplicada en tomografia computarizada para obtener imágenes transversales de pacientes. Este artículo se aplica por lo general en la reconstrucción tomografica para todo tipo de tomografía, sin embargo algunos términos o descripciones físicas se refieren directamente a la tomografía axial computarizada."
anotación de imágenes,"La segmentación es uno de los problemas generales del campo de la visión artificial y consiste en dividir una imagen digital en varias regiones (grupos de píxeles) denominadas segmentos.  Más concretamente, la segmentación es un proceso de clasificación por píxel que asigna una categoría a cada píxel de la imagen analizada.  Este problema general se divide en problemas especializados, dando lugar por ejemplo a:"
ajuste de contraste,Un estadístico de contraste es un estadístico utilizado en contrastes de hipótesis.​ Un contraste de hipótesis se construye habitualmente a partir de un estadístico muestral que resume la información de los datos observados en un valor que permite decidir si rechazar la hipótesis nula.
realce de imágenes,El procesamiento de imágenes digitales o filtro de imagen es el conjunto de técnicas que se aplican a las imágenes digitales con el objetivo de mejorar la calidad o facilitar la búsqueda de información.
registro de imágenes,"El registro de la imagen es el proceso de transformación de diferentes conjuntos de datos a un sistema de coordenadas. Los datos pueden ser múltiples fotografías, datos de diferentes sensores, de diferentes épocas o de diferentes puntos de vista.​ Se utiliza en visión artificial, imagen médica, reconocimiento automático de objetivo y en la recopilación y análisis de imágenes y datos de los satélites. El registro es necesario para poder comparar o integrar los datos obtenidos de estas diferentes mediciones."
análisis de textura,"En la ciencia del suelo, las funciones de pedotransferencia (PTF) son funciones predictivas de ciertas propiedades del suelo que utilizan datos de estudios de suelos."
extracción de características,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos. Las técnicas de selección de la característica son utilizadas por cuatro razones:"
reconstrucción 3d,"La modelización tridimensional es un procedimiento en el que se obtiene una estructura numérica de datos que representan la distribución en el espacio de edificaciones, terrenos u objetos, mediante una nube de puntos cuyos valores de posición son conocidos por medio de topografía, fotogrametría o teledetección. Estos pueden estar definidos en un sistema de coordenadas, que puede ser arbitrario o referido a un sistema nacional de coordenadas."
esteganografía de imágenes,"La esteganografía (del griego στεγανος steganos, ""cubierto"" u ""oculto"", y γραφος graphos, ""escritura"") trata el estudio y aplicación de técnicas que permiten ocultar mensajes u objetos, dentro de otros, llamados portadores, para que no se perciba su existencia. Es decir, procura ocultar mensajes dentro de otros objetos y de esta forma establecer un canal encubierto de comunicación, de modo que el propio acto de la comunicación pase inadvertido para observadores que tienen acceso a ese canal.​"
