concepto,descripcion,Source,concept
dizaje de señales,Reducción de la frecuencia de muestreo de una señal.,GPT,signal sale
análisis de tiempo frecuencia,Análisis que combina información del tiempo y la frecuencia de una señal.,GPT,frequency time analysis
filtrado digital,Procesamiento de señales en formato digital usando algoritmos.,GPT,digital filtrate
filtrado analógico,Procesamiento de señales usando circuitos y componentes físicos.,GPT,analog filtering
ruido blanco,Ruido con energía uniforme en todo el espectro de frecuencias.,GPT,white noise
ruido gaussiano,Ruido que sigue una distribución normal en sus valores.,GPT,gaussian noise
ruido de banda limitada,Ruido restringido a un rango específico de frecuencias.,GPT,limited band noise
detección de bordes en señales,Técnica para identificar cambios abruptos en señales.,GPT,border detection in signals
espectrogramas,Representación visual que muestra cómo cambian las frecuencias en el tiempo.,GPT,spectrograms
análisis de señales multiresolución,Análisis que descompone señales en diferentes niveles de detalle y resolución.,GPT,multi -purpose signal analysis
visualización de datos,"Técnica para representar datos visualmente, facilitando su interpretación y análisis.",GPT,data display
gráficos de barras,Gráfico que utiliza barras para comparar valores entre diferentes categorías.,GPT,bar charts
gráficos de líneas,Gráfico que conecta puntos de datos con líneas para mostrar tendencias.,GPT,line charts
gráficos de dispersión,Gráfico que representa relaciones entre dos variables mediante puntos dispersos.,GPT,scatter plots
histogramas,Gráfico que muestra la distribución de datos dividiéndolos en intervalos o bins.,GPT,histograms
diagramas de caja,Gráfico que visualiza la distribución de datos mostrando cuartiles y valores atípicos.,GPT,boxplots
heatmaps,Gráfico que utiliza colores para representar la intensidad de datos en una matriz.,GPT,heatmaps
gráficos de torta,Gráfico que muestra proporciones de un total usando segmentos de un círculo.,GPT,cake graphics
gráficos de área,Gráfico que combina líneas y áreas para mostrar acumulaciones de datos a lo largo del tiempo.,GPT,area charts
diagramas de dispersión con burbujas,Extensión del gráfico de dispersión que incluye tamaños de burbujas para representar una tercera variable.,GPT,bubbles scatter plots
gráficos de radar,Gráfico que representa variables multidimensionales en forma de un polígono.,GPT,radar chart
gráficos de rosca,Variante del gráfico de torta con un centro hueco para visualización adicional.,GPT,pie chart
mapas coropléticos,Mapa que utiliza variaciones de color para mostrar valores en diferentes regiones geográficas.,GPT,choropleth maps
gráficos de series temporales,Gráfico diseñado para visualizar cambios a lo largo del tiempo en una o varias series.,GPT,time  series plot
gráficos de violin,Gráfico que muestra la distribución de datos combinando aspectos de diagramas de caja y densidad.,GPT,violin plot
gráficos de densidad,Gráfico que muestra estimaciones de la densidad de datos en un conjunto continuo.,GPT,density graphics
diagramas de gantt,Gráfico utilizado para planificar y mostrar tareas a lo largo del tiempo.,GPT,gantt charts
nubes de palabras,Representación visual de texto donde las palabras más frecuentes tienen mayor tamaño.,GPT,word clouds
treemaps,Gráfico jerárquico que utiliza rectángulos para representar proporciones de categorías.,GPT,treemaps
mapas de calor geográficos,Visualización que combina datos geográficos con colores para representar información regional.,GPT,geographical heat maps
gráficos de red,Gráfico que muestra conexiones entre nodos en un sistema de red.,GPT,network diagram
diagramas de sankey,Gráfico que representa flujos de datos entre categorías con anchos proporcionales.,GPT,sankey diagrams
gráficos de pareto,Gráfico que ordena datos por frecuencia para identificar las más significativas.,GPT,pareto graphics
gráficos de boxen,Gráfico similar al diagrama de caja pero diseñado para grandes conjuntos de datos.,GPT,boxen graphics
diagrama de hexágonos,Gráfico que utiliza celdas hexagonales para agrupar y representar densidad de puntos.,GPT,hexagon chart
gráficos de líneas apiladas,Gráfico que apila líneas para mostrar la contribución de cada serie en un total acumulado.,GPT,stacked line graphics
gráficos de variación,Gráfico diseñado para mostrar desviaciones de un valor promedio o estándar.,GPT,variation charts
mapas de relieve,Mapa que representa datos utilizando variaciones en la elevación geográfica.,GPT,relief maps
mapas de flujo,Mapa que utiliza líneas y flechas para mostrar el flujo de datos o personas.,GPT,flow maps
gráficos de pirámides poblacionales,Gráfico demográfico que muestra la distribución de una población por edad y género.,GPT,population pyramid graphics
gráficos de velocímetros,Gráfico que simula indicadores de velocidad para mostrar valores actuales frente a un objetivo.,GPT,velocimeter graphics
gráficos de rosetas,Gráfico circular con múltiples capas para mostrar datos jerárquicos o categóricos.,GPT,rosette charts
visualización interactiva,Representación interactiva de datos que permite explorar información dinámicamente.,GPT,interactive visualization
dashboard,Panel que combina múltiples gráficos e indicadores para mostrar métricas clave.,GPT,dashboard
gráficos dinámicos,Gráficos que permiten actualización en tiempo real para análisis dinámico.,GPT,dynamic charts
infografía,Combinación de gráficos y texto para comunicar información de manera atractiva.,GPT,infographic
colores en visualización,Uso estratégico de colores para mejorar la comprensión de los datos visualizados.,GPT,colors in visualization
principios de percepción visual,Principios que optimizan cómo los humanos perciben y entienden gráficos.,GPT,principles of visual perception
anotaciones en gráficos,Elementos adicionales en gráficos para destacar puntos clave o contextos importantes.,GPT,charts annotations
software de visualización,Herramientas de software populares para crear gráficos y paneles interactivos.,GPT,visualization software
