concepto,descripcion,source,concept
estrato,Es una subpoblación o parte de una población que reúne características comunes que le hacen ser homogénea.,book4,stratum
exactitud,Es la cercanía de una medición al verdadero valor que se pretende medir.,book4,accuracy
experimento,Es un método de investigación mediante el cual se determina la incidencia de variables independientes sobre la variable dependiente.,book4,experiment
experimento aleatorio,"Es cualquier acto que implique la observación de los valores de una variable aleatoria.  es aquel que puede dar lugar a varios resultados, sin que pueda ser previsible enunciar con certeza cuál de éstos va a ser observado en la realización del experimento.",book4,random experiment
frecuencia absoluta,Es el número de veces que la variable asume un valor dado o pertenece a una clase dada. se representa simbólicamente por n i .,book4,absolute frequency
frecuencia absoluta acumulada,Es el número de observaciones hasta (inclusive) un valor dado de una variable numérica. se representa por n i .,book4,accumulated absolute frequency
frecuencia condicional,"En una distribución conjunta, son las frecuencias de una de las variables estando fijo un valor de la otra variable.",book4,conditional frequency
frecuencia conjunta,"Es un número n ij que representa la ocurrencia de dos variables (x, y) en los elementos de población o de la muestra. (ver distribución bidimensional)",book4,joint frequency
frecuencia marginal,"En una distribución conjunta, son las frecuencias de cada una de las variables sin tener en cuenta el valor de la (s) otra (s).",book4,marginal frequency
frecuencia relativa,Es un valor que se obtiene como el cociente de la frecuencia absoluta (n i ) sobre el tamaño de la muestra (n). simbólicamente se representa por hi.,book4,relative frequency
frecuencia relativa acumulada,Es una cantidad que se obtiene como el cociente de la frecuencia absoluta acumulada (n i ) sobre el tamaño de la muestra (n).  simbólicamente se representa por h i .,book4,accumulated relative frequency
fuentes de datos,"Medios de donde procede la información. los datos pueden reunirse de diferentes fuentes de información ya existentes o pueden obtenerse mediante censos, encuestas y estudios experimentales para conseguir nuevos datos.",book4,data sources
fuente primaria,"Es aquella en la que los datos estadísticos se obtienen a partir de un relevamiento propio, como por ejemplo a partir de una encuesta.",book4,primary source
fuente secundaria,"Es aquella persona o institución que proporciona datos estadísticos, es decir los datos se obtienen a partir de un relevamiento de otros recopiladores.",book4,secondary source
grados de libertad,"En estadística grados de libertad de un estadístico calculado en base a «n» datos, se refiere al número de cantidades independientes que se necesitan en su cálculo, menos el número de restricciones que ligan a las observaciones y el estadístico.",book4,degrees of freedom
histograma,"Gráfico utilizado para representar la distribución de frecuencias de una variable continua.  describe el comportamiento de un conjunto de datos en cuanto a su tendencia central, forma y dispersión.",book4,histogram
índice,"Es la relación expresada en porcentaje entre el precio, cantidad o valor de un bien y servicio o conjunto de bienes y servicios, en un período",book4,index
índice de cantidad,Es un número que refleja la variación en las cantidades de un producto o un conjunto de productos en dos momentos en el tiempo,book4,quantity index
índice de precios,"Es un número que refleja el cambio en el precio de un bien, servicio o conjunto de bienes y servicios en un período de tiempo, en relación con el precio en un período de referencia (período base). 
í",book4,price index
índice de valor,Es un número que expresa la variación en el valor de un conjunto de productos en dos momentos en el tiempo o el espacio,book4,value index
índice agregativo,Es aquel que expresa la variación de un conjunto de artículos agregados.,book4,aggregative index
índice de precios de laspeyres,"Describe la variación de precios de una canasta de bienes y servicios elegidos en un año base, que permanece inalterable durante los períodos sucesivos",book4,laspeyres price index
índice de precios de paasche,Es un número que describe la relación exitente entre el precio actual de un grupo de bienes y servicios y el precio de dichos bienes y servicios en el año base.,book4,paasche price index
índice ideal de fisher,"Es un índice de precios que se obtiene como la media geométrica de los números índices de laspeyres y de paasche. el índice ideal de fisher satisface los criterios de inversión temporal y de inversión de factores, lo que le confiere una cierta ventaja teórica sobre otros números índice.",book4,fisher's ideal index
índice de carli,Es un índice agregado simple.,book4,carli index
índice de masculinidad,"Es un número que relaciona el número de hombres por cada 100 mujeres, expresado como porcentaje.",book4,masculinity index
intervalo de clase,Es el conjunto de datos cuantitativos comprendido entre dos valores. generalmente se ubican en la primera columna en una tabla de distribución de frecuencias.,book4,class interval
intervalo de confianza,"Conocido también como límites de confianza.  es un rango de valores en el cual se encontraría el valor del parámetro, con una probabilidad determinada.",book4,confidence interval
mite inferior,Es el menor valor de un intervalo de clase. lí,book4,lower mite
mite superior,"Es el mayor valor de un intervalo de clase. 
m",book4,upper mite
marca de clase,Es la denominación que se le da al punto medio de un intervalo en una tabla de frecuencias de datos agrupados.,book4,class brand
marco muestral,Es la totalidad de unidades de muestreo de la que se selecciona una muestra.,book4,sample framework
mediana,Es unamedida de tendencia central.,book4,median
medidas de forma,Permiten conocer que forma tiene la curva que representa la serie de datos.,book4,form measures
moda,"Es una medida de tendencia central es el valor de la variable que tiene mayor frecuencia absoluta, la que más se repite es la única medida de centralización que tiene sentido estudiar en una variable cualitativa, pues no precisa la realización de ningún cálculo.",book4,mode
muestra,"Es un subconjunto representantivo de la población a partir del cual se pretende realizar inferencias respecto a la población de donde procede.  los elementos seleccionados con cierta técnica reúne ciertas características que la hacen ser representativa, significativa y confiable y que en base a ella se pueden hacer inferencias respecto a la población.",book4,sample
muestreo,Es un conjunto de métodos y procedimientos estadísticos destinados a la selección de una o mas muestras es la técnica seguida para elegir muestras.  el objetivo principal de un diseño de muestreo es proporcionar procedimientos para la selección de muestras que sean representativas de la población en estudio.,book4,sampling
muestreo aletorio simple,También llamado irrestrictamente aleatorio.,book4,simple alest sampling
muestreo estratificado aleatorio,"Es un método de muestreo que se aplica cuando se divide la población en grupos, llamados estratos, donde los datos son más homogéneos pero un estrato frente al otro muy distintos.  para extraer la muestra aleatoria se aplica el muestreo aleatorio simple a cada estrato y el tamaño es la suma de los tamaños de todos los estratos.",book4,random stratified sampling
muestreo por conglomerados,Es un método de muestreo en el cual la población está en grupos debido a la organización administrativa u otro (conglomerados).,book4,conglomerate sampling
ojiva,Es un gráfico acumulativo de frecuencias o frecuencias relativas. existen las ojivas mayor que y menor que.,book4,ogive
permutaciones,Son las distintas disposiciones de los elementos en que se pueden ordenar los objetos.,book4,permutations
percentil,Es el valor que resulta de dividir el conjunto de datos en 100 partes iguales. cada parte representa al 1% del total,book4,percentile
periodo de referencia de una encuesta,Es el lapso o espacio de tiempo durante el cual se levanta la información de la encuesta y la referencia cronológica respecto a la cual es válida la información inherente a ella.,book4,reference period of a survey
pictogramas,"Son gráficos vistosos, similares a los gráficos de barras, pero empleando un dibujo alusivo al tema que representa, en una determinada escala para expresar la unidad de medida de los datos.",book4,pictograms
probabilidad,Es un número que se le asigna a un suceso como una medida de su incertidumbre.,book4,probability
promedio ponderado,Es un número conocido también como media aritmética ponderada.,book4,weighted average
punto muestral,El conjunto de todos los resultados posibles de un experimento aleatorio se le denomina espacio muestral. un punto de este conjunto es un punto muestral.,book4,sample point
quintil,Es un fractil se obtienen dividiendo al conjunto de datos en cinco partes iguales cada parte representa el 20% del total. se pueden calcular 4 quintiles.,book4,quintile
rango,"Conocido también como recorrido, es un número que mide la amplitud de los valores de un conjunto de datos y se calcula por diferencia entre el valor mayor y el valor menor.  lo notaremos comor.",book4,range
redondeo,Es el procedimiento para expresar un número de acuerdo a una precisión establecida.,book4,rounding
series temporales,Conocida también como serie cronológica. es la sucesión de observaciones cuantitativas ordenadas en el tiempo de un fenómeno.,book4,temporary series
sesgo,Se denomina así a la asimetría que presenta una distribución de frecuencias. puede ser sesgo negativo o a la izquierda y sesgo positivo o a la derecha.,book4,bias
suceso cierto,Se conoce también como suceso seguro.  es aquel suceso que siempre se realiza.,book4,true event
suceso imposible,Es aquel suceso que no se realiza nunca.  se designa por un ø.,book4,impossible event
sucesos compuestos,"Se llama sucesos compuestos, a los sucesos formados por dos o más puntos muestrales; es decir, por más de un resultado del experimento.",book4,compound events
sucesos contrarios,"Dado un suceso cualquiera a del espacio de sucesos s, se llama suceso contrario del suceso a a un suceso que se realiza cuando no se realiza a, y recíprocamente.",book4,opposite events
sucesos elementales,"Conocido también como sucesos aleatorios, son los sucesos formados por un solo punto muestral; es decir, por un solo resultado del experimento aleatorio.",book4,elementary events
tabla de contingencia,Es una tabla de doble entrada.  se representa genéricamente como (x i ; y j ; n ij ).,book4,contingency table
tabla de datos agrupados,"Es un arreglo matricial que contiene el número de veces (frecuencia) que aparece un dato, de acuerdo a las clases de interés especificadas (puede ser intervalos). (ver distribución unidimensional)",book4,grouped data table
tasa,"Es la relación del número de casos, frecuencias o eventos de una categoría entre el número total de observaciones, multiplicada por un múltiplo de 10, generalmente 100 ó 1000",book4,rate
tasa bruta de mortalidad,"Es un número que expresa la frecuencia de muertes en una población en un período de tiempo, por lo general un año calendario.",book4,gross mortality rate
tasa de masculinidad,Es un número que expresa la proporción de varones en la población total o en una parte de ella.,book4,masculinity rate
tasa de mortalidad infantil,"Es un número que expresa la mortalidad de niños menores de un año y se obtiene dividiendo las defunciones infantiles (menores de un año) ocurridas en un año calendario entre el número de nacidos vivos ocurridos en el transcurso del mismo año, multiplicado por mil.",book4,infant mortality rate
unidad de muestreo,Es la unidad estadística que se selecciona para constituir la muestra.,book4,sampling unit
variable,Es una característica de la población o de la muestra cuya medida puede cambiar de valor.  se representa simbólicamente mediante las letras del alfabeto.,book4,variable
variable aleatoria,Conocida también como variable estocástica o probabilística. es la característica considerada en un experimento aleatorio cuyo valor de ocurrencia sólo puede saberse con exactitud una vez observado.,book4,random variable
variable bidimensional,Es aquella que proporciona información sobre dos características de la población.,book4,two dimensional variable
variable continua,"Es una variable cuantitativa.  es la característica de la población, cuyos valores están representados mediante el conjunto de los números reales.",book4,continuous variable
variable cualitativa,"Es aquella que representa cualidades, atributos o características no numéricas y estas pueden ser nominales y ordinales. (ver dato cualitativo).",book4,qualitative variable
variable cuantitativa,Es aquella característica de la población o de la muestra que es posible representar numéricamente.  éstas pueden ser continua y discreta.,book4,quantitative variable
variable discreta,Es una variable cuantitativa.,book4,discrete variable
variable nominal,Es una variable cualitativa la cual sólo permite asignar nombres a los datos y no implica ningún orden. ej.,book4,nominal variable
variable ordinal,Es una variable cualitativa cuyos valores solamente pueden ser ordenados con algún criterio.,book4,ordinal variable
variable pluridimensional,Es aquella que proporciona información sobre tres o más características.,book4,multidimensional variable
variable unidimensional,Es aquella que proporciona información sobre una sola característica.,book4,unidimensional variable
variaciones irregulares,Conocido como variación de aleatoriedad.,book4,irregular variations
varianza,"Conocida también como variancia, es una medida de dispersión de la información.",book4,variance
